RIL	Chr	Start	end
RIL_1	Chr_1	1041523	1041526
RIL_1	Chr_1	1132974	1132977
RIL_1	Chr_1	2059112	2059115
RIL_1	Chr_1	3619714	3619717
RIL_1	Chr_1	5120693	5120696
RIL_1	Chr_1	5145816	5145819
RIL_1	Chr_1	5623713	5623716
RIL_1	Chr_1	5709001	5709004
RIL_1	Chr_1	6057238	6057241
RIL_1	Chr_1	6432233	6432236
RIL_1	Chr_1	6798864	6798867
RIL_1	Chr_1	7553869	7553872
RIL_1	Chr_1	8188977	8188980
RIL_1	Chr_1	8326624	8326627
RIL_1	Chr_1	8913054	8913057
RIL_1	Chr_1	10907374	10907377
RIL_1	Chr_1	13418286	13418289
RIL_1	Chr_1	14511719	14511722
RIL_1	Chr_1	15512726	15512729
RIL_1	Chr_1	15807089	15807092
RIL_1	Chr_1	16327643	16327646
RIL_1	Chr_1	20599337	20599340
RIL_1	Chr_1	21565699	21565702
RIL_1	Chr_1	23928391	23928394
RIL_1	Chr_1	24082610	24082613
RIL_1	Chr_1	24470954	24470957
RIL_1	Chr_1	25086304	25086307
RIL_1	Chr_1	25281770	25281773
RIL_1	Chr_1	25866208	25866211
RIL_1	Chr_1	26106793	26106796
RIL_1	Chr_1	26205753	26205756
RIL_1	Chr_1	26924632	26924635
RIL_1	Chr_1	27497110	27497113
RIL_1	Chr_1	28827618	28827621
RIL_1	Chr_1	29935735	29935738
RIL_1	Chr_1	30235962	30235965
RIL_1	Chr_1	30864901	30864904
RIL_1	Chr_1	32658454	32658457
RIL_1	Chr_1	32784946	32784949
RIL_1	Chr_1	33282256	33282259
RIL_1	Chr_1	33781381	33781384
RIL_1	Chr_1	34646477	34646480
RIL_1	Chr_1	34695077	34695080
RIL_1	Chr_1	34897488	34897491
RIL_1	Chr_1	35200488	35200491
RIL_1	Chr_1	35936947	35936950
RIL_1	Chr_1	36150072	36150075
RIL_1	Chr_1	36444862	36444865
RIL_1	Chr_1	36796592	36796595
RIL_1	Chr_1	37399910	37399913
RIL_1	Chr_1	38092037	38092040
RIL_1	Chr_1	38092621	38092624
RIL_1	Chr_1	38679984	38679987
RIL_1	Chr_1	39423451	39423454
RIL_1	Chr_1	39666830	39666833
RIL_1	Chr_1	39899559	39899562
RIL_1	Chr_1	39904179	39904182
RIL_1	Chr_1	40325061	40325064
RIL_1	Chr_1	40469771	40469774
RIL_1	Chr_1	40641753	40641756
RIL_1	Chr_1	40692631	40692634
RIL_1	Chr_1	40818574	40818577
RIL_1	Chr_1	40832861	40832864
RIL_1	Chr_1	40984350	40984353
RIL_1	Chr_1	41321422	41321425
RIL_1	Chr_1	42023271	42023274
RIL_1	Chr_1	42320293	42320296
RIL_1	Chr_2	458589	458592
RIL_1	Chr_2	2144409	2144412
RIL_1	Chr_2	3502593	3502596
RIL_1	Chr_2	3557086	3557089
RIL_1	Chr_2	4253032	4253035
RIL_1	Chr_2	4699554	4699557
RIL_1	Chr_2	5857963	5857966
RIL_1	Chr_2	8898162	8898165
RIL_1	Chr_2	9025179	9025182
RIL_1	Chr_2	9418872	9418875
RIL_1	Chr_2	10076666	10076669
RIL_1	Chr_2	12467702	12467705
RIL_1	Chr_2	12895213	12895216
RIL_1	Chr_2	13021551	13021554
RIL_1	Chr_2	13200713	13200716
RIL_1	Chr_2	13403984	13403987
RIL_1	Chr_2	14601855	14601858
RIL_1	Chr_2	15520985	15520988
RIL_1	Chr_2	16222087	16222090
RIL_1	Chr_2	16367207	16367210
RIL_1	Chr_2	16678149	16678152
RIL_1	Chr_2	16986965	16986968
RIL_1	Chr_2	18255996	18255999
RIL_1	Chr_2	18569682	18569685
RIL_1	Chr_2	18621511	18621514
RIL_1	Chr_2	19050841	19050844
RIL_1	Chr_2	19204910	19204913
RIL_1	Chr_2	19341459	19341462
RIL_1	Chr_2	19487222	19487225
RIL_1	Chr_2	20000329	20000332
RIL_1	Chr_2	20144822	20144825
RIL_1	Chr_2	20589716	20589719
RIL_1	Chr_2	20722278	20722281
RIL_1	Chr_2	21001167	21001170
RIL_1	Chr_2	21319933	21319936
RIL_1	Chr_2	21515952	21515955
RIL_1	Chr_2	22478976	22478979
RIL_1	Chr_2	22515554	22515557
RIL_1	Chr_2	23882556	23882559
RIL_1	Chr_2	24014617	24014620
RIL_1	Chr_2	24215955	24215958
RIL_1	Chr_2	25133413	25133416
RIL_1	Chr_2	25397924	25397927
RIL_1	Chr_2	25548874	25548877
RIL_1	Chr_2	25852198	25852201
RIL_1	Chr_2	25969391	25969394
RIL_1	Chr_2	26510357	26510360
RIL_1	Chr_2	26678339	26678342
RIL_1	Chr_2	27244609	27244612
RIL_1	Chr_2	27685184	27685187
RIL_1	Chr_2	28329975	28329978
RIL_1	Chr_2	28376799	28376802
RIL_1	Chr_2	28948533	28948536
RIL_1	Chr_2	30375297	30375300
RIL_1	Chr_2	30902244	30902247
RIL_1	Chr_2	31053561	31053564
RIL_1	Chr_2	31613470	31613473
RIL_1	Chr_2	31670396	31670399
RIL_1	Chr_2	33884289	33884292
RIL_1	Chr_2	33952268	33952271
RIL_1	Chr_2	34446591	34446594
RIL_1	Chr_2	34576206	34576209
RIL_1	Chr_2	35082382	35082385
RIL_1	Chr_2	35391037	35391040
RIL_1	Chr_2	35712070	35712073
RIL_1	Chr_3	180225	180228
RIL_1	Chr_3	198571	198574
RIL_1	Chr_3	399057	399060
RIL_1	Chr_3	440200	440203
RIL_1	Chr_3	511328	511331
RIL_1	Chr_3	982230	982233
RIL_1	Chr_3	1247287	1247290
RIL_1	Chr_3	1299650	1299653
RIL_1	Chr_3	1428675	1428678
RIL_1	Chr_3	1782927	1782930
RIL_1	Chr_3	2078275	2078278
RIL_1	Chr_3	2737673	2737676
RIL_1	Chr_3	2774225	2774228
RIL_1	Chr_3	3390556	3390559
RIL_1	Chr_3	3967953	3967956
RIL_1	Chr_3	4377251	4377254
RIL_1	Chr_3	4681956	4681959
RIL_1	Chr_3	6154019	6154022
RIL_1	Chr_3	6328407	6328410
RIL_1	Chr_3	6441698	6441701
RIL_1	Chr_3	6512008	6512011
RIL_1	Chr_3	6566209	6566212
RIL_1	Chr_3	7025981	7025984
RIL_1	Chr_3	7296366	7296369
RIL_1	Chr_3	7739000	7739003
RIL_1	Chr_3	8457817	8457820
RIL_1	Chr_3	9014022	9014025
RIL_1	Chr_3	9162953	9162956
RIL_1	Chr_3	9358950	9358953
RIL_1	Chr_3	9527855	9527858
RIL_1	Chr_3	9586683	9586686
RIL_1	Chr_3	10593110	10593113
RIL_1	Chr_3	10990368	10990371
RIL_1	Chr_3	11015127	11015130
RIL_1	Chr_3	11102321	11102324
RIL_1	Chr_3	11329079	11329082
RIL_1	Chr_3	11781495	11781498
RIL_1	Chr_3	11922192	11922195
RIL_1	Chr_3	12036119	12036122
RIL_1	Chr_3	12067612	12067615
RIL_1	Chr_3	12384657	12384660
RIL_1	Chr_3	12409839	12409842
RIL_1	Chr_3	13100613	13100616
RIL_1	Chr_3	14620264	14620267
RIL_1	Chr_3	16846775	16846778
RIL_1	Chr_3	17267495	17267498
RIL_1	Chr_3	17269649	17269652
RIL_1	Chr_3	18117564	18117567
RIL_1	Chr_3	23071793	23071796
RIL_1	Chr_3	23835953	23835956
RIL_1	Chr_3	23992038	23992041
RIL_1	Chr_3	24753654	24753657
RIL_1	Chr_3	27342532	27342535
RIL_1	Chr_3	27565012	27565015
RIL_1	Chr_3	28088458	28088461
RIL_1	Chr_3	28365659	28365662
RIL_1	Chr_3	28622166	28622169
RIL_1	Chr_3	29404900	29404903
RIL_1	Chr_3	29985234	29985237
RIL_1	Chr_3	30100180	30100183
RIL_1	Chr_3	30605133	30605136
RIL_1	Chr_3	30784689	30784692
RIL_1	Chr_3	30966988	30966991
RIL_1	Chr_3	31358854	31358858
RIL_1	Chr_3	31364756	31364759
RIL_1	Chr_3	31662046	31662049
RIL_1	Chr_3	31683284	31683287
RIL_1	Chr_3	31890842	31890845
RIL_1	Chr_3	32077165	32077168
RIL_1	Chr_3	33345952	33345955
RIL_1	Chr_3	33362072	33362075
RIL_1	Chr_3	34077805	34077808
RIL_1	Chr_3	34602102	34602105
RIL_1	Chr_3	35176772	35176775
RIL_1	Chr_3	35945978	35945981
RIL_1	Chr_3	36190409	36190412
RIL_1	Chr_3	36257258	36257261
RIL_1	Chr_3	36299343	36299346
RIL_1	Chr_4	1771400	1771403
RIL_1	Chr_4	1877632	1877635
RIL_1	Chr_4	9562247	9562250
RIL_1	Chr_4	14006531	14006534
RIL_1	Chr_4	16947761	16947764
RIL_1	Chr_4	18718159	18718162
RIL_1	Chr_4	20271312	20271315
RIL_1	Chr_4	20693709	20693712
RIL_1	Chr_4	20906353	20906356
RIL_1	Chr_4	21408124	21408127
RIL_1	Chr_4	21600763	21600766
RIL_1	Chr_4	21673100	21673103
RIL_1	Chr_4	21998763	21998766
RIL_1	Chr_4	23199002	23199005
RIL_1	Chr_4	23338293	23338296
RIL_1	Chr_4	23439375	23439378
RIL_1	Chr_4	23571129	23571132
RIL_1	Chr_4	24208723	24208726
RIL_1	Chr_4	24466212	24466215
RIL_1	Chr_4	24760829	24760832
RIL_1	Chr_4	24925072	24925075
RIL_1	Chr_4	25028693	25028696
